ID,SYNONYM,ENTITYCODE,Entity name
0,,CTBTO,Comprehensive Nuclear Test Ban Treaty Organization
1,,UNICRI,United Nations Interregional Crime and Justice Research Institute
2,,UN-OCT,United Nations secretariat Office of Counter-Terrorism
3,,UN-DCO,United Nations secretariat Development Coordination Office
4,,UNV,United Nations Volunteers
5,,UNCCD,United Nations Convention to Combat Desertification
6,,FAO,Food and Agriculture Organization
7,,IAEA,International Atomic Energy Agency
8,,ICAO,International Civil Aviation Organization
9,,ICC,International Criminal Court
10,,IFAD,International Fund for Agricultural Development
11,,ILO,International Labour Organization
12,,IMO,International Maritime Organization
13,,IOM,International Organization for Migration
14,,ISA,International Seabed Authority
15,,ITC,International Trade Centre
16,,ITLOS,International Tribunal for the Law of the Sea
17,,ITU,International Telecommunication Union
18,,OPCW,Organization for the Prohibition of Chemical Weapons
19,,PAHO,Pan American Health Organization
20,,UNWOMEN,United Nations Entity for Gender Equality and the Empowerment of Women
21,,UNHABITAT,United National Human Settlements Programme
22,,UNAIDS,The Joint United Nations Programme on HIV/AIDS
23,,UNCDF,United Nations Capital Development Fund
24,,UNDP,United Nations Development Programme
25,,UNEP,United Nations Environment Programme
26,,UNESCO,"United National Educational, Scientific and Cultural Organization"
27,,UNFCCC,United Nations Framework Convention on Climate Change
28,,UNFPA,United Nations Population Fund
29,,UNHCR,United Nations High Commissioner for Refugees
30,,UNICEF,United Nations Children’s Fund
31,,UN-UNIDIR,United Nations secretariat United Nations Institute for Disarmament Research
32,,UNIDO,United Nations Industrial Development Organization
33,,UNITAR,United Nations Institute for Training and Research
34,,UN,"United Nations Secretariat, including those UN Secretariat offices not specifically mentioned below"
35,UNDESA,UN-DESA,United Nations Secretariat Department of Economic and Social Affairs
36,UNDGACM,UN-DGACM,United Nations Secretariat Department of General Assembly and Conference Management
37,UNDMSPC,UN-DMSPC,"United Nations Secretariat Department of Management Strategy, Policy and Compliance, including UNOG, UNOV and UNON"
38,UNDOS,UN-DOS,United Nations Secretariat Department of Operational Support
39,UNDFS,UN-DFS,United Nations Secretariat Department of Field Support
40,UNDPA,UN-DPA,"United Nations Secretariat Department of Political Affairs, including Special Political Missions"
41,UNDPI,UN-DPI,United Nations Secretariat Department of Public Information
42,UNDPKO,UN-DPKO,"United Nations Secretariat Department of Peacekeeping Operations, including Peacekeeping Missions"
43,UNDSS,UN-DSS,United Nations Secretariat Department of Safety and Security
44,UNDGC,UN-DGC,United Nations Secretariat Department of Global Communications
45,UNDPPA,UN-DPPA,United Nations Secretariat Department of Political and Peacebuilding Affairs
46,UNDPO,UN-DPO,United Nations Secretariat Department of Peace Operations
47,UNOCHA,UN-OCHA,United Nations Secretariat Office for the Coordination of Humanitarian Affairs
48,UNOHCHR,UN-OHCHR,United Nations Secretariat Office of the High Commissioner for Human Rights
49,UNPBSO,UN-PBSO,United Nations Secretariat Peacebuilding Support Office
50,UNISDR,UN-UNISDR,United Nations Secretariat United Nations International Strategy for Disaster Reduction
51,UNECA,UN-ECA,United Nations Secretariat Economic Commission for Africa
52,UNECE,UN-ECE,United Nations Secretariat Economic Commission for Europe
53,UNECLAC,UN-ECLAC,United Nations Secretariat Economic Commission for Latin America
54,UNESCAP,UN-ESCAP,United Nations Secretariat Economic and Social Commission for Asia and the Pacific
55,UNESCWA,UN-ESCWA,United Nations Secretariat Economic and Social Commission for Western Asia
56,UNCTAD,UN-UNCTAD,United Nations Secretariat - United Nations Conference on Trade and Development
57,,UNODC,United Nations Office on Drugs and Crime
58,,UNOPS,United Nations Office for Project Services
59,,UN-UNRISD,United Nations secretariat United Nations Research Institute for Social Development
60,,UNRWA,United Nations Relief and Works Agency for Palestine
61,,UNSSC,United Nations System Staff College
62,,UNU,United Nations University
63,,UN Tourism, World Tourism Organization
64,,UPU,Universal Postal Union
65,,WFP,World Food Programme
66,,WHO,World Health Organization
67,,UNITAID,"Global health initiative that is working with partners to end the world's tuberculosis, HIV/AIDS, malaria and hepatitis C epidemics."
68,,IARC,International Agency for Research on Cancer
69,,WIPO,World Intellectual Property Organization
70,,WMO,World Meteorological Organization
71,,WTO,World Trade Organization
72,,IRMCT,International Residual Mechanism for Criminal Tribunals
73,,UN-Tech Bank,Technology Bank for the Least Developed Countries
74,,UN-UNDRR,United Nations Secretariat United Nations Office for Disaster Risk Reduction
75,,UNCCD,United Nations Convention to Combat Desertification
76,,IRMCT,International Residual Mechanism for Criminal Tribunals
