Currencycode,FinYear,Rate
USD,2010,1
EUR,2010,0.761
CHF,2010,0.951
GBP,2010,0.648
CAD,2010,1
USD,2011,1
EUR,2011,0.774
CHF,2011,0.945
GBP,2011,0.648
CAD,2011,1.024
USD,2012,1
EUR,2012,0.754
CHF,2012,0.911
GBP,2012,0.619
CAD,2012,0.993
USD,2013,1
EUR,2013,0.725
CHF,2013,0.887
GBP,2013,0.605
CAD,2013,1.067
USD,2014,1
EUR,2014,0.82
CHF,2014,0.987
GBP,2014,0.644
CAD,2014,1.163
USD,2015,1
EUR,2015,0.914
CHF,2015,0.991
GBP,2015,0.675
CAD,2015,1.385
USD,2016,1
EUR,2016,0.956
CHF,2016,1.025
GBP,2016,0.817
CAD,2016,1.354
USD,2017,1
EUR,2017,0.837
CHF,2017,0.978
GBP,2017,0.743
CAD,2017,1.26
USD,2018,1
EUR,2018,0.876
CHF,2018,0.987
GBP,2018,0.791
CAD,2018,1.365
USD,2019,1
EUR,2019,0.896
CHF,2019,0.975
GBP,2019,0.763
CAD,2019,1.309
USD,2020,1
EUR,2020,0.815
CHF,2020,0.883
GBP,2020,0.74
CAD,2020,1.278
USD,2021,1
EUR,2021,0.881
CHF,2021,0.915
GBP,2021,0.742
CAD,2021,1.281
USD,2022,1
EUR,2022,0.939
CHF,2022,0.923
GBP,2022,0.831
CAD,2022,1.356
USD,2023,1
EUR,2023,0.901
CHF,2023,0.835
GBP,2023,0.783
CAD,2023,1.319
USD,2024,1
CAD,2024,1.442
EUR,2024,0.96
CHF,2024,0.901
GBP,2024,0.796
USD,2025,1
CAD,2025,1.367
EUR,2025,0.85
CHF,2025,0.789
GBP,2025,0.741
